"Survived" "Pclass" "Sex" "Age" "Fare" "Embarked" "FamilyNum" "AgeBin"
"54" 1 "2" "female" 29 26 "S" 1 "middle"
"55" 0 "1" "male" 65 61.98 "C" 1 "Late"
"57" 1 "2" "female" 21 10.5 "S" 0 "middle"
"58" 0 "3" "male" 28.5 7.23 "C" 0 "middle"
"59" 1 "2" "female" 5 27.75 "S" 3 "Child"
"60" 0 "3" "male" 11 46.9 "S" 7 "Child"
"61" 0 "3" "male" 22 7.23 "C" 0 "middle"
"63" 0 "1" "male" 45 83.47 "S" 1 "middle"
"64" 0 "3" "male" 4 27.9 "S" 5 "Child"
"67" 1 "2" "female" 29 10.5 "S" 0 "middle"
"68" 0 "3" "male" 19 8.16 "S" 0 "Teen"
"69" 1 "3" "female" 17 7.92 "S" 6 "Teen"
"70" 0 "3" "male" 26 8.66 "S" 2 "middle"
"71" 0 "2" "male" 32 10.5 "S" 0 "middle"
"72" 0 "3" "female" 16 46.9 "S" 7 "Teen"
"73" 0 "2" "male" 21 73.5 "S" 0 "middle"
"74" 0 "3" "male" 26 14.45 "C" 1 "middle"
"75" 1 "3" "male" 32 56.5 "S" 0 "middle"
"76" 0 "3" "male" 25 7.65 "S" 0 "middle"
"79" 1 "2" "male" 0.83 29 "S" 2 "Child"
"80" 1 "3" "female" 30 12.47 "S" 0 "middle"
"81" 0 "3" "male" 22 9 "S" 0 "middle"
"82" 1 "3" "male" 29 9.5 "S" 0 "middle"
"84" 0 "1" "male" 28 47.1 "S" 0 "middle"
"85" 1 "2" "female" 17 10.5 "S" 0 "Teen"
"86" 1 "3" "female" 33 15.85 "S" 3 "middle"
"87" 0 "3" "male" 16 34.38 "S" 4 "Teen"
"89" 1 "1" "female" 23 263 "S" 5 "middle"
"90" 0 "3" "male" 24 8.05 "S" 0 "middle"
"91" 0 "3" "male" 29 8.05 "S" 0 "middle"
"92" 0 "3" "male" 20 7.85 "S" 0 "middle"
"93" 0 "1" "male" 46 61.17 "S" 1 "Late"
"94" 0 "3" "male" 26 20.58 "S" 3 "middle"
"95" 0 "3" "male" 59 7.25 "S" 0 "Late"
"97" 0 "1" "male" 71 34.65 "C" 0 "Late"
"98" 1 "1" "male" 23 63.36 "C" 1 "middle"
"99" 1 "2" "female" 34 23 "S" 1 "middle"
"100" 0 "2" "male" 34 26 "S" 1 "middle"
"101" 0 "3" "female" 28 7.9 "S" 0 "middle"
"103" 0 "1" "male" 21 77.29 "S" 1 "middle"
"104" 0 "3" "male" 33 8.65 "S" 0 "middle"
"105" 0 "3" "male" 37 7.92 "S" 2 "middle"
"106" 0 "3" "male" 28 7.9 "S" 0 "middle"
"107" 1 "3" "female" 21 7.65 "S" 0 "middle"
"109" 0 "3" "male" 38 7.9 "S" 0 "middle"
"111" 0 "1" "male" 47 52 "S" 0 "Late"
"112" 0 "3" "female" 14.5 14.45 "C" 1 "Teen"
"113" 0 "3" "male" 22 8.05 "S" 0 "middle"
"114" 0 "3" "female" 20 9.82 "S" 1 "middle"
"115" 0 "3" "female" 17 14.46 "C" 0 "Teen"
"116" 0 "3" "male" 21 7.92 "S" 0 "middle"
"117" 0 "3" "male" 70.5 7.75 "Q" 0 "Late"
"118" 0 "2" "male" 29 21 "S" 1 "middle"
"119" 0 "1" "male" 24 247.52 "C" 1 "middle"
"120" 0 "3" "female" 2 31.27 "S" 6 "Child"
"121" 0 "2" "male" 21 73.5 "S" 2 "middle"
"123" 0 "2" "male" 32.5 30.07 "C" 1 "middle"
"124" 1 "2" "female" 32.5 13 "S" 0 "middle"
"125" 0 "1" "male" 54 77.29 "S" 1 "Late"
"126" 1 "3" "male" 12 11.24 "C" 1 "Teen"
"128" 1 "3" "male" 24 7.14 "S" 0 "middle"
"130" 0 "3" "male" 45 6.97 "S" 0 "middle"
"131" 0 "3" "male" 33 7.9 "C" 0 "middle"
"132" 0 "3" "male" 20 7.05 "S" 0 "middle"
"133" 0 "3" "female" 47 14.5 "S" 1 "Late"
"134" 1 "2" "female" 29 26 "S" 1 "middle"
"135" 0 "2" "male" 25 13 "S" 0 "middle"
"136" 0 "2" "male" 23 15.05 "C" 0 "middle"
"137" 1 "1" "female" 19 26.28 "S" 2 "Teen"
"138" 0 "1" "male" 37 53.1 "S" 1 "middle"
"139" 0 "3" "male" 16 9.22 "S" 0 "Teen"
"140" 0 "1" "male" 24 79.2 "C" 0 "middle"
"142" 1 "3" "female" 22 7.75 "S" 0 "middle"
"143" 1 "3" "female" 24 15.85 "S" 1 "middle"
"144" 0 "3" "male" 19 6.75 "Q" 0 "Teen"
"145" 0 "2" "male" 18 11.5 "S" 0 "Teen"
"146" 0 "2" "male" 19 36.75 "S" 2 "Teen"
"147" 1 "3" "male" 27 7.8 "S" 0 "middle"
"148" 0 "3" "female" 9 34.38 "S" 4 "Child"
"149" 0 "2" "male" 36.5 26 "S" 2 "middle"
"150" 0 "2" "male" 42 13 "S" 0 "middle"
"151" 0 "2" "male" 51 12.53 "S" 0 "Late"
"152" 1 "1" "female" 22 66.6 "S" 1 "middle"
"153" 0 "3" "male" 55.5 8.05 "S" 0 "Late"
"154" 0 "3" "male" 40.5 14.5 "S" 2 "middle"
"156" 0 "1" "male" 51 61.38 "C" 1 "Late"
"157" 1 "3" "female" 16 7.73 "Q" 0 "Teen"
"158" 0 "3" "male" 30 8.05 "S" 0 "middle"
"161" 0 "3" "male" 44 16.1 "S" 1 "middle"
"162" 1 "2" "female" 40 15.75 "S" 0 "middle"
"163" 0 "3" "male" 26 7.78 "S" 0 "middle"
"164" 0 "3" "male" 17 8.66 "S" 0 "Teen"
"165" 0 "3" "male" 1 39.69 "S" 5 "Child"
"166" 1 "3" "male" 9 20.52 "S" 2 "Child"
"168" 0 "3" "female" 45 27.9 "S" 5 "middle"
"170" 0 "3" "male" 28 56.5 "S" 0 "middle"
"171" 0 "1" "male" 61 33.5 "S" 0 "Late"
"172" 0 "3" "male" 4 29.12 "Q" 5 "Child"
"173" 1 "3" "female" 1 11.13 "S" 2 "Child"
"174" 0 "3" "male" 21 7.92 "S" 0 "middle"
"175" 0 "1" "male" 56 30.7 "C" 0 "Late"
"176" 0 "3" "male" 18 7.85 "S" 2 "Teen"
"178" 0 "1" "female" 50 28.71 "C" 0 "Late"
"179" 0 "2" "male" 30 13 "S" 0 "middle"
"180" 0 "3" "male" 36 0 "S" 0 "middle"
"183" 0 "3" "male" 9 31.39 "S" 6 "Child"
"184" 1 "2" "male" 1 39 "S" 3 "Child"
"185" 1 "3" "female" 4 22.02 "S" 2 "Child"
"188" 1 "1" "male" 45 26.55 "S" 0 "middle"
"189" 0 "3" "male" 40 15.5 "Q" 2 "middle"
"190" 0 "3" "male" 36 7.9 "S" 0 "middle"
"191" 1 "2" "female" 32 13 "S" 0 "middle"
"192" 0 "2" "male" 19 13 "S" 0 "Teen"
"193" 1 "3" "female" 19 7.85 "S" 1 "Teen"
"194" 1 "2" "male" 3 26 "S" 2 "Child"
"195" 1 "1" "female" 44 27.72 "C" 0 "middle"
"196" 1 "1" "female" 58 146.52 "C" 0 "Late"
"198" 0 "3" "male" 42 8.4 "S" 1 "middle"
"200" 0 "2" "female" 24 13 "S" 0 "middle"
"201" 0 "3" "male" 28 9.5 "S" 0 "middle"
"203" 0 "3" "male" 34 6.5 "S" 0 "middle"
"204" 0 "3" "male" 45.5 7.22 "C" 0 "middle"
"205" 1 "3" "male" 18 8.05 "S" 0 "Teen"
"206" 0 "3" "female" 2 10.46 "S" 1 "Child"
"207" 0 "3" "male" 32 15.85 "S" 1 "middle"
"208" 1 "3" "male" 26 18.79 "C" 0 "middle"
"209" 1 "3" "female" 16 7.75 "Q" 0 "Teen"
"210" 1 "1" "male" 40 31 "C" 0 "middle"
"211" 0 "3" "male" 24 7.05 "S" 0 "middle"
"212" 1 "2" "female" 35 21 "S" 0 "middle"
"213" 0 "3" "male" 22 7.25 "S" 0 "middle"
"214" 0 "2" "male" 30 13 "S" 0 "middle"
"216" 1 "1" "female" 31 113.28 "C" 1 "middle"
"217" 1 "3" "female" 27 7.92 "S" 0 "middle"
"218" 0 "2" "male" 42 27 "S" 1 "middle"
"219" 1 "1" "female" 32 76.29 "C" 0 "middle"
"220" 0 "2" "male" 30 10.5 "S" 0 "middle"
"221" 1 "3" "male" 16 8.05 "S" 0 "Teen"
"222" 0 "2" "male" 27 13 "S" 0 "middle"
"223" 0 "3" "male" 51 8.05 "S" 0 "Late"
"225" 1 "1" "male" 38 90 "S" 1 "middle"
"226" 0 "3" "male" 22 9.35 "S" 0 "middle"
"227" 1 "2" "male" 19 10.5 "S" 0 "Teen"
"228" 0 "3" "male" 20.5 7.25 "S" 0 "middle"
"229" 0 "2" "male" 18 13 "S" 0 "Teen"
"231" 1 "1" "female" 35 83.47 "S" 1 "middle"
"232" 0 "3" "male" 29 7.78 "S" 0 "middle"
"233" 0 "2" "male" 59 13.5 "S" 0 "Late"
"234" 1 "3" "female" 5 31.39 "S" 6 "Child"
"235" 0 "2" "male" 24 10.5 "S" 0 "middle"
"237" 0 "2" "male" 44 26 "S" 1 "middle"
"238" 1 "2" "female" 8 26.25 "S" 2 "Child"
"239" 0 "2" "male" 19 10.5 "S" 0 "Teen"
"240" 0 "2" "male" 33 12.28 "S" 0 "middle"
"243" 0 "2" "male" 29 10.5 "S" 0 "middle"
"244" 0 "3" "male" 22 7.12 "S" 0 "middle"
"245" 0 "3" "male" 30 7.22 "C" 0 "middle"
"246" 0 "1" "male" 44 90 "Q" 2 "middle"
"247" 0 "3" "female" 25 7.78 "S" 0 "middle"
"248" 1 "2" "female" 24 14.5 "S" 2 "middle"
"249" 1 "1" "male" 37 52.55 "S" 2 "middle"
"250" 0 "2" "male" 54 26 "S" 1 "Late"
"252" 0 "3" "female" 29 10.46 "S" 2 "middle"
"253" 0 "1" "male" 62 26.55 "S" 0 "Late"
"254" 0 "3" "male" 30 16.1 "S" 1 "middle"
"255" 0 "3" "female" 41 20.21 "S" 2 "middle"
"256" 1 "3" "female" 29 15.25 "C" 2 "middle"
"258" 1 "1" "female" 30 86.5 "S" 0 "middle"
"259" 1 "1" "female" 35 512.33 "C" 0 "middle"
"260" 1 "2" "female" 50 26 "S" 1 "Late"
"262" 1 "3" "male" 3 31.39 "S" 6 "Child"
"263" 0 "1" "male" 52 79.65 "S" 2 "Late"
"264" 0 "1" "male" 40 0 "S" 0 "middle"
"266" 0 "2" "male" 36 10.5 "S" 0 "middle"
"267" 0 "3" "male" 16 39.69 "S" 5 "Teen"
"268" 1 "3" "male" 25 7.78 "S" 1 "middle"
"269" 1 "1" "female" 58 153.46 "S" 1 "Late"
"270" 1 "1" "female" 35 135.63 "S" 0 "middle"
"272" 1 "3" "male" 25 0 "S" 0 "middle"
"273" 1 "2" "female" 41 19.5 "S" 1 "middle"
"274" 0 "1" "male" 37 29.7 "C" 1 "middle"
"276" 1 "1" "female" 63 77.96 "S" 1 "Late"
"277" 0 "3" "female" 45 7.75 "S" 0 "middle"
"279" 0 "3" "male" 7 29.12 "Q" 5 "Child"
"280" 1 "3" "female" 35 20.25 "S" 2 "middle"
"281" 0 "3" "male" 65 7.75 "Q" 0 "Late"
"282" 0 "3" "male" 28 7.85 "S" 0 "middle"
"283" 0 "3" "male" 16 9.5 "S" 0 "Teen"
"284" 1 "3" "male" 19 8.05 "S" 0 "Teen"
"286" 0 "3" "male" 33 8.66 "C" 0 "middle"
"287" 1 "3" "male" 30 9.5 "S" 0 "middle"
"288" 0 "3" "male" 22 7.9 "S" 0 "middle"
"289" 1 "2" "male" 42 13 "S" 0 "middle"
"290" 1 "3" "female" 22 7.75 "Q" 0 "middle"
"291" 1 "1" "female" 26 78.85 "S" 0 "middle"
"292" 1 "1" "female" 19 91.08 "C" 1 "Teen"
"293" 0 "2" "male" 36 12.88 "C" 0 "middle"
"294" 0 "3" "female" 24 8.85 "S" 0 "middle"
"295" 0 "3" "male" 24 7.9 "S" 0 "middle"
"297" 0 "3" "male" 23.5 7.23 "C" 0 "middle"
"298" 0 "1" "female" 2 151.55 "S" 3 "Child"
"300" 1 "1" "female" 50 247.52 "C" 1 "Late"
"303" 0 "3" "male" 19 0 "S" 0 "Teen"
"306" 1 "1" "male" 0.92 151.55 "S" 3 "Child"
"308" 1 "1" "female" 17 108.9 "C" 1 "Teen"
"309" 0 "2" "male" 30 24 "C" 1 "middle"
"310" 1 "1" "female" 30 56.93 "C" 0 "middle"
"311" 1 "1" "female" 24 83.16 "C" 0 "middle"
"312" 1 "1" "female" 18 262.38 "C" 4 "Teen"
"313" 0 "2" "female" 26 26 "S" 2 "middle"
"314" 0 "3" "male" 28 7.9 "S" 0 "middle"
"315" 0 "2" "male" 43 26.25 "S" 2 "middle"
"316" 1 "3" "female" 26 7.85 "S" 0 "middle"
"317" 1 "2" "female" 24 26 "S" 1 "middle"
"318" 0 "2" "male" 54 14 "S" 0 "Late"
"319" 1 "1" "female" 31 164.87 "S" 2 "middle"
"320" 1 "1" "female" 40 134.5 "C" 2 "middle"
"321" 0 "3" "male" 22 7.25 "S" 0 "middle"
"322" 0 "3" "male" 27 7.9 "S" 0 "middle"
"323" 1 "2" "female" 30 12.35 "Q" 0 "middle"
"324" 1 "2" "female" 22 29 "S" 2 "middle"
"326" 1 "1" "female" 36 135.63 "C" 0 "middle"
"327" 0 "3" "male" 61 6.24 "S" 0 "Late"
"328" 1 "2" "female" 36 13 "S" 0 "middle"
"329" 1 "3" "female" 31 20.52 "S" 2 "middle"
"330" 1 "1" "female" 16 57.98 "C" 1 "Teen"
"332" 0 "1" "male" 45.5 28.5 "S" 0 "middle"
"333" 0 "1" "male" 38 153.46 "S" 1 "middle"
"334" 0 "3" "male" 16 18 "S" 2 "Teen"
"337" 0 "1" "male" 29 66.6 "S" 1 "middle"
"338" 1 "1" "female" 41 134.5 "C" 0 "middle"
"339" 1 "3" "male" 45 8.05 "S" 0 "middle"
"340" 0 "1" "male" 45 35.5 "S" 0 "middle"
"341" 1 "2" "male" 2 26 "S" 2 "Child"
"342" 1 "1" "female" 24 263 "S" 5 "middle"
"343" 0 "2" "male" 28 13 "S" 0 "middle"
"344" 0 "2" "male" 25 13 "S" 0 "middle"
"345" 0 "2" "male" 36 13 "S" 0 "middle"
"346" 1 "2" "female" 24 13 "S" 0 "middle"
"347" 1 "2" "female" 40 13 "S" 0 "middle"
"349" 1 "3" "male" 3 15.9 "S" 2 "Child"
"350" 0 "3" "male" 42 8.66 "S" 0 "middle"
"351" 0 "3" "male" 23 9.22 "S" 0 "middle"
"353" 0 "3" "male" 15 7.23 "C" 2 "Teen"
"354" 0 "3" "male" 25 17.8 "S" 1 "middle"
"356" 0 "3" "male" 28 9.5 "S" 0 "middle"
"357" 1 "1" "female" 22 55 "S" 1 "middle"
"358" 0 "2" "female" 38 13 "S" 0 "middle"
"361" 0 "3" "male" 40 27.9 "S" 5 "middle"
"362" 0 "2" "male" 29 27.72 "C" 1 "middle"
"363" 0 "3" "female" 45 14.45 "C" 1 "middle"
"364" 0 "3" "male" 35 7.05 "S" 0 "middle"
"366" 0 "3" "male" 30 7.25 "S" 0 "middle"
"367" 1 "1" "female" 60 75.25 "C" 1 "Late"
"370" 1 "1" "female" 24 69.3 "C" 0 "middle"
"371" 1 "1" "male" 25 55.44 "C" 1 "middle"
"372" 0 "3" "male" 18 6.5 "S" 1 "Teen"
"373" 0 "3" "male" 19 8.05 "S" 0 "Teen"
"374" 0 "1" "male" 22 135.63 "C" 0 "middle"
"375" 0 "3" "female" 3 21.08 "S" 4 "Child"
"377" 1 "3" "female" 22 7.25 "S" 0 "middle"
"378" 0 "1" "male" 27 211.5 "C" 2 "middle"
"379" 0 "3" "male" 20 4.01 "C" 0 "middle"
"380" 0 "3" "male" 19 7.78 "S" 0 "Teen"
"381" 1 "1" "female" 42 227.52 "C" 0 "middle"
"382" 1 "3" "female" 1 15.74 "C" 2 "Child"
"383" 0 "3" "male" 32 7.92 "S" 0 "middle"
"384" 1 "1" "female" 35 52 "S" 1 "middle"
"386" 0 "2" "male" 18 73.5 "S" 0 "Teen"
"387" 0 "3" "male" 1 46.9 "S" 7 "Child"
"388" 1 "2" "female" 36 13 "S" 0 "middle"
"390" 1 "2" "female" 17 12 "C" 0 "Teen"
"391" 1 "1" "male" 36 120 "S" 3 "middle"
"392" 1 "3" "male" 21 7.8 "S" 0 "middle"
"393" 0 "3" "male" 28 7.92 "S" 2 "middle"
"394" 1 "1" "female" 23 113.28 "C" 1 "middle"
"395" 1 "3" "female" 24 16.7 "S" 2 "middle"
"396" 0 "3" "male" 22 7.8 "S" 0 "middle"
"397" 0 "3" "female" 31 7.85 "S" 0 "middle"
"398" 0 "2" "male" 46 26 "S" 0 "Late"
"399" 0 "2" "male" 23 10.5 "S" 0 "middle"
"400" 1 "2" "female" 28 12.65 "S" 0 "middle"
"401" 1 "3" "male" 39 7.92 "S" 0 "middle"
"402" 0 "3" "male" 26 8.05 "S" 0 "middle"
"403" 0 "3" "female" 21 9.82 "S" 1 "middle"
"404" 0 "3" "male" 28 15.85 "S" 1 "middle"
"405" 0 "3" "female" 20 8.66 "S" 0 "middle"
"406" 0 "2" "male" 34 21 "S" 1 "middle"
"407" 0 "3" "male" 51 7.75 "S" 0 "Late"
"408" 1 "2" "male" 3 18.75 "S" 2 "Child"
"409" 0 "3" "male" 21 7.78 "S" 0 "middle"
"413" 1 "1" "female" 33 90 "Q" 1 "middle"
"415" 1 "3" "male" 44 7.92 "S" 0 "middle"
"417" 1 "2" "female" 34 32.5 "S" 2 "middle"
"418" 1 "2" "female" 18 13 "S" 2 "Teen"
"419" 0 "2" "male" 30 13 "S" 0 "middle"
"420" 0 "3" "female" 10 24.15 "S" 2 "Child"
"422" 0 "3" "male" 21 7.73 "Q" 0 "middle"
"423" 0 "3" "male" 29 7.88 "S" 0 "middle"
"424" 0 "3" "female" 28 14.4 "S" 2 "middle"
"425" 0 "3" "male" 18 20.21 "S" 2 "Teen"
"427" 1 "2" "female" 28 26 "S" 1 "middle"
"428" 1 "2" "female" 19 26 "S" 0 "Teen"
"430" 1 "3" "male" 32 8.05 "S" 0 "middle"
"431" 1 "1" "male" 28 26.55 "S" 0 "middle"
"433" 1 "2" "female" 42 26 "S" 1 "middle"
"434" 0 "3" "male" 17 7.12 "S" 0 "Teen"
"435" 0 "1" "male" 50 55.9 "S" 1 "Late"
"436" 1 "1" "female" 14 120 "S" 3 "Teen"
"437" 0 "3" "female" 21 34.38 "S" 4 "middle"
"438" 1 "2" "female" 24 18.75 "S" 5 "middle"
"439" 0 "1" "male" 64 263 "S" 5 "Late"
"440" 0 "2" "male" 31 10.5 "S" 0 "middle"
"441" 1 "2" "female" 45 26.25 "S" 2 "middle"
"442" 0 "3" "male" 20 9.5 "S" 0 "middle"
"443" 0 "3" "male" 25 7.78 "S" 1 "middle"
"444" 1 "2" "female" 28 13 "S" 0 "middle"
"446" 1 "1" "male" 4 81.86 "S" 2 "Child"
"447" 1 "2" "female" 13 19.5 "S" 1 "Teen"
"448" 1 "1" "male" 34 26.55 "S" 0 "middle"
"449" 1 "3" "female" 5 19.26 "C" 3 "Child"
"450" 1 "1" "male" 52 30.5 "S" 0 "Late"
"451" 0 "2" "male" 36 27.75 "S" 3 "middle"
"453" 0 "1" "male" 30 27.75 "C" 0 "middle"
"454" 1 "1" "male" 49 89.1 "C" 1 "Late"
"456" 1 "3" "male" 29 7.9 "C" 0 "middle"
"457" 0 "1" "male" 65 26.55 "S" 0 "Late"
"459" 1 "2" "female" 50 10.5 "S" 0 "Late"
"461" 1 "1" "male" 48 26.55 "S" 0 "Late"
"462" 0 "3" "male" 34 8.05 "S" 0 "middle"
"463" 0 "1" "male" 47 38.5 "S" 0 "Late"
"464" 0 "2" "male" 48 13 "S" 0 "Late"
"466" 0 "3" "male" 38 7.05 "S" 0 "middle"
"468" 0 "1" "male" 56 26.55 "S" 0 "Late"
"470" 1 "3" "female" 0.75 19.26 "C" 3 "Child"
"472" 0 "3" "male" 38 8.66 "S" 0 "middle"
"473" 1 "2" "female" 33 27.75 "S" 3 "middle"
"474" 1 "2" "female" 23 13.79 "C" 0 "middle"
"475" 0 "3" "female" 22 9.84 "S" 0 "middle"
"477" 0 "2" "male" 34 21 "S" 1 "middle"
"478" 0 "3" "male" 29 7.05 "S" 1 "middle"
"479" 0 "3" "male" 22 7.52 "S" 0 "middle"
"480" 1 "3" "female" 2 12.29 "S" 1 "Child"
"481" 0 "3" "male" 9 46.9 "S" 7 "Child"
"483" 0 "3" "male" 50 8.05 "S" 0 "Late"
"484" 1 "3" "female" 63 9.59 "S" 0 "Late"
"485" 1 "1" "male" 25 91.08 "C" 1 "middle"
"487" 1 "1" "female" 35 90 "S" 1 "middle"
"488" 0 "1" "male" 58 29.7 "C" 0 "Late"
"489" 0 "3" "male" 30 8.05 "S" 0 "middle"
"490" 1 "3" "male" 9 15.9 "S" 2 "Child"
"492" 0 "3" "male" 21 7.25 "S" 0 "middle"
"493" 0 "1" "male" 55 30.5 "S" 0 "Late"
"494" 0 "1" "male" 71 49.5 "C" 0 "Late"
"495" 0 "3" "male" 21 8.05 "S" 0 "middle"
"497" 1 "1" "female" 54 78.27 "C" 1 "Late"
"499" 0 "1" "female" 25 151.55 "S" 3 "middle"
"500" 0 "3" "male" 24 7.8 "S" 0 "middle"
"501" 0 "3" "male" 17 8.66 "S" 0 "Teen"
"502" 0 "3" "female" 21 7.75 "Q" 0 "middle"
"504" 0 "3" "female" 37 9.59 "S" 0 "middle"
"505" 1 "1" "female" 16 86.5 "S" 0 "Teen"
"506" 0 "1" "male" 18 108.9 "C" 1 "Teen"
"507" 1 "2" "female" 33 26 "S" 2 "middle"
"509" 0 "3" "male" 28 22.52 "S" 0 "middle"
"510" 1 "3" "male" 26 56.5 "S" 0 "middle"
"511" 1 "3" "male" 29 7.75 "Q" 0 "middle"
"513" 1 "1" "male" 36 26.29 "S" 0 "middle"
"514" 1 "1" "female" 54 59.4 "C" 1 "Late"
"515" 0 "3" "male" 24 7.5 "S" 0 "middle"
"516" 0 "1" "male" 47 34.02 "S" 0 "Late"
"517" 1 "2" "female" 34 10.5 "S" 0 "middle"
"519" 1 "2" "female" 36 26 "S" 1 "middle"
"520" 0 "3" "male" 32 7.9 "S" 0 "middle"
"521" 1 "1" "female" 30 93.5 "S" 0 "middle"
"522" 0 "3" "male" 22 7.9 "S" 0 "middle"
"524" 1 "1" "female" 44 57.98 "C" 1 "middle"
"526" 0 "3" "male" 40.5 7.75 "Q" 0 "middle"
"527" 1 "2" "female" 50 10.5 "S" 0 "Late"
"529" 0 "3" "male" 39 7.92 "S" 0 "middle"
"530" 0 "2" "male" 23 11.5 "S" 3 "middle"
"531" 1 "2" "female" 2 26 "S" 2 "Child"
"533" 0 "3" "male" 17 7.23 "C" 2 "Teen"
"535" 0 "3" "female" 30 8.66 "S" 0 "middle"
"536" 1 "2" "female" 7 26.25 "S" 2 "Child"
"537" 0 "1" "male" 45 26.55 "S" 0 "middle"
"538" 1 "1" "female" 30 106.42 "C" 0 "middle"
"540" 1 "1" "female" 22 49.5 "C" 2 "middle"
"541" 1 "1" "female" 36 71 "S" 2 "middle"
"542" 0 "3" "female" 9 31.27 "S" 6 "Child"
"543" 0 "3" "female" 11 31.27 "S" 6 "Child"
"544" 1 "2" "male" 32 26 "S" 1 "middle"
"545" 0 "1" "male" 50 106.42 "C" 1 "Late"
"546" 0 "1" "male" 64 26 "S" 0 "Late"
"547" 1 "2" "female" 19 26 "S" 1 "Teen"
"549" 0 "3" "male" 33 20.52 "S" 2 "middle"
"550" 1 "2" "male" 8 36.75 "S" 2 "Child"
"551" 1 "1" "male" 17 110.88 "C" 2 "Teen"
"552" 0 "2" "male" 27 26 "S" 0 "middle"
"554" 1 "3" "male" 22 7.22 "C" 0 "middle"
"555" 1 "3" "female" 22 7.78 "S" 0 "middle"
"556" 0 "1" "male" 62 26.55 "S" 0 "Late"
"557" 1 "1" "female" 48 39.6 "C" 1 "Late"
"559" 1 "1" "female" 39 79.65 "S" 2 "middle"
"560" 1 "3" "female" 36 17.4 "S" 1 "middle"
"562" 0 "3" "male" 40 7.9 "S" 0 "middle"
"563" 0 "2" "male" 28 13.5 "S" 0 "middle"
"566" 0 "3" "male" 24 24.15 "S" 2 "middle"
"567" 0 "3" "male" 19 7.9 "S" 0 "Teen"
"568" 0 "3" "female" 29 21.08 "S" 4 "middle"
"570" 1 "3" "male" 32 7.85 "S" 0 "middle"
"571" 1 "2" "male" 62 10.5 "S" 0 "Late"
"572" 1 "1" "female" 53 51.48 "S" 2 "Late"
"573" 1 "1" "male" 36 26.39 "S" 0 "middle"
"575" 0 "3" "male" 16 8.05 "S" 0 "Teen"
"576" 0 "3" "male" 19 14.5 "S" 0 "Teen"
"577" 1 "2" "female" 34 13 "S" 0 "middle"
"578" 1 "1" "female" 39 55.9 "S" 1 "middle"
"580" 1 "3" "male" 32 7.92 "S" 0 "middle"
"581" 1 "2" "female" 25 30 "S" 2 "middle"
"582" 1 "1" "female" 39 110.88 "C" 2 "middle"
"583" 0 "2" "male" 54 26 "S" 0 "Late"
"584" 0 "1" "male" 36 40.12 "C" 0 "middle"
"586" 1 "1" "female" 18 79.65 "S" 2 "Teen"
"587" 0 "2" "male" 47 15 "S" 0 "Late"
"588" 1 "1" "male" 60 79.2 "C" 2 "Late"
